,span position,theta,chord,aoa,diameter,airfoil,absolute aoa,induced aoa,local cl,weight,local lift,dihedral position,M,EI,EA,M_zerolift,M_EI_zerolift,zerolift deflection angle,zerolift deflection,total zerolift deflection,zerolift strain,strain,wire load,axial force,total load,M_EI,deflection angle,deflection,total deflection
0.0,0.0,1.5707963267948966,1.05,4.8,0.10101,1.0,11.152999999999999,0.4802701284337229,1.15042993126122,0.034368245757652474,1.9447119070440664,0.0,37.31095512409103,48658.2086968592,22788831.978144325,-544.4613831859493,-0.011189507336325214,0.0,0.0,0.0,-0.0005651260680211049,9.445054632904047e-05,0.0,1269.8729700875767,1.607903098619072,0.00076679672604757,0.0,0.0,0.0
0.0033333333333333335,0.05333333333333334,1.5674624450870656,1.05,4.8,0.10101,1.0,11.152999999999999,0.4803908779176678,1.1504169154890431,0.034368245757652474,1.9446899047737567,0.00372034526635335,34.31084663868268,48658.2086968592,22788831.978144325,-540.2073735102713,-0.011102080984439131,-0.0005944423552203827,-1.5851796139210206e-05,0.00370449347021414,-0.0005607106001190984,9.133657063791872e-05,0.0,1269.8729700875767,1.6078810963487624,0.0007051399457065789,3.925164458011064e-05,1.046710522136284e-06,0.003721391976875486
0.006666666666666667,0.10666666666666667,1.5641285633792346,1.05,4.8,0.10101,1.0,11.152999999999999,0.4805116274016128,1.1504038997168662,0.034368245757652474,1.9446679025034463,0.0074406905327067,31.39394383021381,48658.2086968592,22788831.978144325,-535.9713269710426,-0.01101502380225597,-0.0011842318161989188,-6.328310737705825e-05,0.007377407425329641,-0.0005563137771329378,8.830895864218101e-05,0.0,1269.8729700875767,1.607859094078452,0.0006451931682441947,7.526052761879794e-05,4.100368447440513e-06,0.007444790901154141
0.01,0.16,1.5607946816714036,1.05,4.8,0.10101,1.0,11.152999999999999,0.4806323768855577,1.1503908839446892,0.03436824575765248,1.944645900233137,0.011161035799060049,28.560462053976,48658.2086968592,22788831.978144325,-531.7532435682632,-0.010928335789775733,-0.001769388071986431,-0.00014204630439533424,0.011018989494664715,-0.0005519355990626234,8.536793387079176e-05,0.0,1269.8729700875767,1.6078370918081428,0.0005869608195383389,0.00010811796729299884,8.990461645088427e-06,0.011170026260705138
0.013333333333333334,0.21333333333333335,1.5574607999635723,1.05,4.8,0.10101,1.0,11.152999999999999,0.4807531263695027,1.1503778681725123,0.03436824575765247,1.9446238979628263,0.0148813810654134,25.810610472716597,48658.2086968592,22788831.978144325,-527.5531233019332,-0.010842016946998417,-0.0023499308116337416,-0.00025189480795853884,0.01462948625745486,-0.000547576065908155,8.251371342513711e-05,0.0,1269.8729700875767,1.607815089537832,0.0005304471982007555,0.00013791551443270803,1.555135449110728e-05,0.014896932419904507
0.016666666666666666,0.26666666666666666,1.5541269182557413,1.05,4.8,0.10101,1.0,11.152999999999999,0.4808738758534476,1.1503648524003354,0.03436824575765248,1.9446018956925173,0.01860172633176675,23.14459204111206,48658.2086968592,22788831.978144325,-523.3709661720525,-0.010756067273924023,-0.002925879724191673,-0.00039258308891388315,0.018209143242852867,-0.0005432351776695328,7.974650796290894e-05,0.0,1269.8729700875767,1.607793087267523,0.00047565647525791476,0.00016474494572493923,2.3622300095311202e-05,0.01862534863186206
0.02,0.32,1.5507930365479103,1.05,4.8,0.10101,1.0,11.152999999999999,0.4809946253373925,1.1503518366281582,0.03436824575765248,1.9445798934222072,0.022322071598120097,20.56260349070214,48658.2086968592,22788831.978144325,-519.2067721786211,-0.01067048677055255,-0.003497254498711048,-0.0005638666681912891,0.021758204929928807,-0.0005389129343467565,7.706652168246721e-05,0.0,1269.8729700875767,1.6077710849972129,0.0004225926938413872,0.00018869825690092062,3.304745216533413e-05,0.022355119050285432
0.023333333333333334,0.37333333333333335,1.5474591548400793,1.05,4.8,0.10101,1.0,11.152999999999999,0.4811153748213375,1.1503388208559813,0.03436824575765248,1.9445578911518975,0.026042416864473446,18.06483531528602,48658.2086968592,22788831.978144325,-515.0605413216391,-0.010585275436884001,-0.00406407482424269,-0.0007655021168033888,0.02527691474767006,-0.0005346093359398265,7.447395230768187e-05,0.0,1269.8729700875767,1.6077490827269032,0.0003712597688877124,0.00020986765590702994,4.367587650687948e-05,0.026086092740980327
0.02666666666666667,0.4266666666666667,1.5441252731322483,1.05,4.8,0.10101,1.0,11.152999999999999,0.4812361243052824,1.1503258050838043,0.03436824575765248,1.9445358888815873,0.0297627621308268,15.651471756781499,48658.2086968592,22788831.978144325,-510.93227360110643,-0.010500433272918372,-0.00462636038983742,-0.0009972470558455252,0.028765515074981273,-0.0005303243824487424,7.196899107325528e-05,0.0,1269.8729700875767,1.607727080456593,0.00032166148684778387,0.00022834555605997652,5.536156215933299e-05,0.029818123692986132
0.030000000000000002,0.48000000000000004,1.5407913914244173,1.05,4.8,0.10101,1.0,11.152999999999999,0.48135687378922737,1.1503127893116274,0.03436824575765245,1.9445010194540864,0.03348310739718015,13.322690791548283,48658.2086968592,22788831.978144325,-506.8219690170231,-0.010415960278655666,-0.005184130884546061,-0.0012588601564957514,0.032224247240684394,-0.0005260580738735045,6.955182271052647e-05,0.0,1269.8729700875767,1.6076922110290923,0.00027380150540577214,0.000244224569186738,6.796343216591204e-05,0.03355107082934606
